entity,entity_type
ꝺanmoꝛk,LOC
ſax lanꝺ,LOC
englanꝺi,LOC
Gẏlꝼi,PER
ſviþioð,LOC
geꝼion,PER
iotun heímum,LOC
geꝼion,PER
ſelunꝺ,LOC
logrinn,LOC
ſviþioð,LOC
legínum,LOC
ſælunꝺe,LOC
bꝛagí,PER
Geꝼion,PER
gẏlꝼa,PER
ꝺanmarkar,LOC
Gẏlꝼí,PER
aſgarðz,LOC
þioðolꝼr,PER
valholl,LOC
Gẏlꝼí,PER
ganglerí,PER
háár,PER
Iaꝼn háár,PER
þriði,PER
haarr,PER
haar,PER
Ganglerí,PER
háár,PER
alꝼǫðꝛ,PER
aaſgarði,LOC
alꝼǫðꝛ,PER
allꝼoðꝛ,PER
herran,PER
herian,PER
hníkarr,PER
nikar,PER
Nikuz,PER
hníkuðꝛ,PER
ꝼiolner,PER
oſki,PER
Omí,PER
Biꝼliði,PER
biblinꝺi,PER
viðꝛir,PER
Sviðꝛer,PER
Sviðoꝛr,PER
Ialg,PER
Ialkr,PER
ganglerí,PER
haarr,PER
iaꝼnháár,PER
þriði,PER
gimle,LOC
vingolꝼ,LOC
heliar,LOC
niꝼlhel,LOC
Gangleri,PER
haar,PER
Gangleri,PER
har,PER
vǫlu ſpa,WRK
Iaꝼnhaar,PER
niꝼlhæimr,LOC
hvergelmer,LOC
Svol,LOC
Gunnþra,LOC
Fioꝛm,LOC
ꝼimbulþul,LOC
Sliðꝛ,LOC
hrið,LOC
Sẏlgr,LOC
ẏlgr,LOC
Viꝺ,LOC
Leiptr,LOC
Giǫll,LOC
helgrinꝺum,LOC
þriði,PER
muſpell,LOC
ſurtr,PER
vǫlu ſpa,WRK
Surtr,PER
Gangleri,PER
har,PER
eli vagar,LOC
ginnunga gap,LOC
Iaꝼn haar,PER
Ginnunga gap,LOC
ginnunga gapſ,LOC
muſpellz,LOC
þriði,PER
niꝼlheimí,LOC
muſpelli,LOC
ginnunga gap,LOC
ẏmer,PER
aurgelmí,PER
vǫlu ſpa,WRK
viðolꝼi,PER
vilmeiði,PER
ſvarthoꝼða,PER
ẏmí,PER
vaꝼþꝛuðner,PER
aurgelmer,PER
eli vagum,LOC
Gangleri,PER
har,PER
ẏmi,PER
Ganglerí,PER
ẏmer,PER
auðumbla,PER
ẏmí,PER
Gangleri,PER
har,PER
burí,PER
boꝛr,PER
beſtla,PER
bǫlþoꝛnſ,PER
oðinn,PER
vili,PER
ve,PER
oðinn,PER
Gangleri,PER
har,PER
boꝛſ,PER
b&er;ergelmí,PER
bergelmer,PER
Gangleri,PER
boꝛſ,PER
har,PER
ẏmí,PER
ginnunga gap,LOC
Iaꝼnhar,PER
þriði,PER
Auſtri,PER
veſtri,PER
Suðꝛi,PER
noꝛðꝛí,PER
muſpellz heimí,LOC
vǫlu ſpa,WRK
Gangleri,PER
hꜳr,PER
ẏmiſ,PER
miðgarð,LOC
miꝺgarð,LOC
Gangleri,PER
har,PER
boꝛſ,PER
aſkr,PER
embla,PER
miðgarði,LOC
aaſgarðꝛ,LOC
troía,LOC
hliðſkialꝼ,LOC
oðinn,PER
ꝼrigg,PER
aaſgarð,LOC
ꜳſa þoꝛr,PER
Noꝛvi,PER
narvi,PER
iotun hæímum,LOC
nott,PER
naglꝼari,PER
auðꝛ,PER
ana&rscapdot;,PER
ioꝛð,PER
ꝺellingr,PER
ꝺagr,PER
allꝼoðꝛ,PER
nott,PER
ꝺag,PER
nott,PER
hrimꝼaxí,PER
ꝺagr,PER
ſkínꝼaxí,PER
Gangleri,PER
har,PER
munꝺilꝼari,PER
mána,PER
ſol,PER
glenr,PER
ſol,PER
muſpellz heimí,LOC
alſviðꝛ,PER
aarvakr,PER
Maaní,PER
Bil,PER
hiukí,PER
bẏrger,LOC
ſægr,WRK
ſimul,WRK
Viðꝼinnr,PER
mana,PER
Gangleri,PER
har,PER
Gangleri,PER
har,PER
ſkoll,PER
hatí,PER
Gangleri,PER
har,PER
miðgarð,LOC
iarnviðꝛ,LOC
iarnviðíur,LOC
managarmr,PER
vǫlu ſpa,WRK
iarnviðiu,LOC
ꝼenreſ,PER
Gangleri,PER
haar,PER
biꝼrǫſt,WRK
muſpellz,LOC
Gangleri,PER
har,PER
biꝼrǫſt,WRK
muſpellz,LOC
Gangleri,PER
aaſgarðꝛ,LOC
har,PER
iða vollr,LOC
allꝼoðꝛ,PER
glaðſ heím,LOC
víngolꝼ,LOC
iotun heímum,LOC
ẏmíſ,PER
Moðſogner,PER
ꝺurin&bar;n,PER
vǫlu ſpa,WRK
blaenſ,PER
ꝺurinn,PER
Nẏi,PER
niðí,PER
noꝛðꝛi,PER
ſuðꝛí,PER
auſtr,PER
veſtri,PER
alþioꝼr,PER
ꝺvalinn,PER
naar,PER
nainn,PER
nipingr,PER
ꝺainn,PER
biꝼu&rscapdot;,PER
bavu&rscapdot;,PER
bombu&rscapdot;,PER
noꝛi,PER
Ori,PER
ona&rscapdot;,PER
ai,PER
míǫð vítner,PER
vigr,PER
ok,PER
ganꝺalꝼr,PER
vinꝺalꝼr,PER
þoꝛinn,PER
Fili,PER
kilí,PER
ꝼunꝺinn,PER
vali,PER
þroꝛ,PER
þroenn,PER
þekkr,PER
litr,PER
vitr,PER
nẏr,PER
nẏraðr,PER
rekkr,PER
raðſvíðꝛ,PER
Draupner,PER
ꝺolgþvarí,PER
hau&rscapdot;,PER
hugſtarí,PER
hleðiolꝼr,PER
gloinn,PER
ꝺoꝛi,PER
oꝛí,PER
ꝺuꝼr,PER
anꝺvarí,PER
heꝼtiꝼilí,PER
haa&rscapdot;,PER
ſvia&rscapdot;,PER
ſvarenſ,LOC
oꝛvanga,LOC
iǫru uollu,LOC
loꝼaʀ,LOC
Skirver,PER
virver,PER
ſkaꝼiðꝛ,PER
aí,PER
alꝼr,PER
ingí,PER
eikinſkiallꝺí,PER
ꝼalr,PER
ꝼroſti,PER
ꝼiðr,PER
ginna&rscapdot;,PER
Gangleri,PER
Iaꝼn haar,PER
ginnunga gap,LOC
níꝼlheímí,LOC
hvergelmer,LOC
niðhoggr,PER
mímíſ,PER
mímer,PER
giallar hoꝛní,WRK
allꝼǫðꝛ,PER
volu ſpa,WRK
oðinn,PER
mímíſ,PER
mímer,PER
valꝼoðꝛſ,PER
urðar,PER
biꝼrǫſt,LOC
aaſbꝛu,LOC
Sleipner,PER
oðinn,PER
glaðꝛ,PER
gẏller,PER
glenr,PER
Skeiðbꝛimer,PER
Silꝼríntoppr,PER
ſinír,PER
Giſl,PER
ꝼalhoꝼner,PER
Gulltoppr,PER
Lettꝼetí,PER
Ballꝺꝛſ,PER
þoꝛr,PER
koꝛmt,LOC
ǫꝛmt,LOC
kerlaugar,LOC
þoꝛr,PER
ẏggꝺꝛaſilſ,OTH
aſbꝛu,LOC
Gangleri,PER
biꝼrꜹſt,LOC
haar,PER
biꝼroſt,LOC
Urðꝛ,PER
verꝺanꝺi,PER
ſkullꝺ,PER
ꝺvalenſ,PER
Gangleri,PER
har,PER
Gangleri,PER
har,PER
veðꝛ ꝼolner,PER
ratatoſkr,PER
níðh&ocurl;ggſ,PER
Dainn,PER
ꝺvalínn,PER
ꝺun æẏrrr,PER
ꝺẏra þroꝛ,PER
hvergelmí,LOC
niðhǫgg,PER
ẏggꝺraſilſ,OTH
niðhoggr,PER
ẏggðraſilſ,OTH
Goenn,PER
moen,PER
graꝼvitníſ,PER
grabakr,PER
grapvolluðꝛ,PER
oꝼner,PER
ſvaꝼner,PER
urðar,PER
ẏggꝺraſill,OTH
urðar,PER
urðar,PER
Gangleri,PER
urðar,PER
har,PER
alꝼheimr,LOC
breiða blik,LOC
glitner,LOC
himinbioꝛg,LOC
biꝼrǫſt,WRK
vala ſkialꝼ,LOC
oðinn,PER
alꝼoðꝛ,PER
gimle,WRK
vǫlu ſpa,WRK
gímle,LOC
Gangleri,PER
ſurta,PER
har,PER
anꝺlangr,LOC
viðblaenn,LOC
Gangleri,PER
har,PER
hræſvelgꝛ,PER
hræſvelgr,PER
Gangleri,PER
har,PER
Suaſoðꝛ,PER
vinꝺlion,PER
vinꝺſvalr,PER
vaſaðar,PER
Gangleri,PER
har,PER
Iaꝼnhar,PER
þꝛiði,PER
oðinn,PER
ꝼriɢ,PER
oðinn,PER
loki,PER
loki,PER
ꝼrigg,PER
oðinn,PER
allꝼoðꝛ,PER
valꝼǫðꝛ,PER
valholl,LOC
vingolꝼ,LOC
hanga,PER
hapta,PER
ꝼarma,PER
geirroðar,PER
grimr,PER
ganglari,PER
herian,PER
hialmberi,PER
þekkr,PER
þriðí,PER
þuðꝛ,PER
uðꝛ,PER
helblinꝺi,PER
haʀ,PER
ſaꝺꝛ,PER
ſvípall,PER
ſanngetall,PER
herteitr,PER
hnikaʀ,PER
bilæẏgr,PER
balæẏgr,PER
bolverkr,PER
ꝼiolner,PER
Grimner,PER
glapſviꝺꝛ,PER
ꝼiolſviðꝛ,PER
ſiꝺhǫttr,PER
ſiðſkeggr,PER
ſigꝼoðꝛ,PER
hníkuðꝛ,PER
alꝼoðꝛ,PER
atriðꝛ,PER
ꝼarmatẏr,PER
Oſki,PER
Omí,PER
Iaꝼnhár,PER
biblinꝺi,PER
Gǫnꝺler,PER
harbarðꝛ,PER
ſviðu&rscapdot;,PER
ſviðꝛer,PER
ialkr,PER
kiala&rscapdot;,PER
viðu&rscapdot;,PER
þroꝛ,PER
ẏggr,PER
þunꝺꝛ,PER
vakr,PER
Skilungꝛ,PER
vaꝼoðꝛ,PER
hropta tẏʀ,PER
gautr,PER
veratẏr,PER
Gangleri,PER
har,PER
Gangleri,PER
har,PER
þoꝛr,PER
aſa,PER
aku þoꝛr,PER
þruðvangar,WRK
bilſkirner,WRK
grimníſ malum,WRK
bilſkirní,LOC
þoꝛr,PER
tann gnioſtr,PER
tanngriſnir,PER
aku þoꝛr,PER
miollner,OTH
Gangleri,PER
har,PER
oðinſ,PER
ballꝺꝛ,PER
ballꝺꝛſ,PER
breiða blik,LOC
breiða blik,LOC
ballꝺꝛ,PER
níoꝛꝺꝛ,PER
noa tun,LOC
nioꝛðꝛ,PER
vana heimí,LOC
hæner,PER
nioꝛðꝛ,PER
ſkaði,PER
þiaza,PER
ſkaði,PER
þrẏmheímr,LOC
nioꝛðꝛ,PER
þrẏmheimí,LOC
noa tunum,LOC
níoꝛðꝛ,PER
noa tuna,LOC
ſkaðí,PER
ſkaði,PER
þꝛẏmheímí,LOC
onꝺur,PER
ǫnꝺur,PER
þrẏm heímr,LOC
þiaza,PER
ſkaði,PER
Nioꝛðꝛ,PER
noa tunum,LOC
ꝼreẏr,PER
ꝼreẏia,PER
ꝼræẏr,PER
ꝼreẏia,PER
ꝼolkvangr,LOC
oðinn,PER
Folkvangr,LOC
ꝼræẏia,PER
oðinn,PER
ſeſrumner,LOC
Gangleri,PER
har,PER
tẏr,PER
ꝼenriſ ulꝼ,PER
gleiꝼni,OTH
tẏſ,PER
Bragí,PER
iðunn,PER
ragna rokkrſ,EVN
Gangleri,PER
iðunnar,PER
har,PER
Heímꝺallr,PER
hvítíaaſſ,PER
hallinſkiðꝛ,PER
gullintanní,PER
gulltoppr,PER
himinbi&ocurl;ꝛg,LOC
biꝼrǫſt,LOC
giallar hoꝛn,WRK
himinbioꝛg,LOC
heimꝺall,PER
heimꝺallar,PER
hoðꝛ,PER
Viðar,PER
Ali,PER
vali,PER
oðinſ,PER
rinꝺar,PER
Ullr,PER
ſivíar,PER
þoꝛſ,PER
Foꝛſeti,PER
ballꝺꝛſ,PER
nǫnnu,PER
glitner,LOC
Glitner,LOC
ꝼoꝛſetí,PER
loki,PER
loptr,PER
ꝼarbauta,PER
lauꝼæẏ,PER
naal,PER
bẏleiſtr,PER
helblínꝺí,PER
Lokí,PER
ſẏgín,PER
narí,PER
narví,PER
lokí,PER
Angrboða,PER
iotun heimum,LOC
loki,PER
ꝼenriſ,PER
ioꝛmunganꝺꝛ,PER
miðgarzoꝛmr,PER
hel,PER
i&ocurl;tunheimum,LOC
allꝼoðꝛ,PER
Hel,PER
níꝼlheim,LOC
Eliuðner,LOC
ganglati,PER
ganglǫt,PER
tẏr,PER
læðing,OTH
læðingí,OTH
ꝺroma,OTH
læðíng,OTH
ꝺꝛoma,OTH
læðingi,OTH
ꝺroma,OTH
allꝼoðꝛ,PER
ſkirner,PER
ꝼræẏſ,PER
gleiꝼner,OTH
Gangleri,PER
har,PER
amſvartner,LOC
lẏngví,LOC
tẏr,PER
tẏr,PER
gelgia,OTH
giǫll,LOC
þvití,OTH
von,LOC
Gangleri,PER
lokí,PER
har,PER
oðní,PER
Gangleri,PER
har,PER
Frigg,PER
ꝼenſaler,LOC
ſága,PER
ſokkua bekk,LOC
æír,PER
geꝼion,PER
ꝼulla,PER
ꝼriggiar,PER
Freẏia,PER
ꝼriɢ,PER
oðꝛ,PER
hnoſſ,PER
Oðꝛ,PER
ꝼræẏia,PER
ꝼræẏia,PER
oðſ,PER
marꝺǫll,PER
hǫꝛn,PER
geꝼn,PER
ſẏr,PER
Freẏia,PER
vana,PER
ſioꝼn,PER
Loꝼn,PER
allꝼǫðꝛ,PER
ꝼrigg,PER
var,PER
Vǫr,PER
Sýn,PER
hlín,PER
ꝼrígg,PER
ſnotra,PER
Gna,PER
ꝼriɢ,PER
hoꝼvarpner,PER
hoꝼvarpní,PER
hamſkerper,PER
garðroꝼu,PER
gnar,PER
ſol,PER
bil,PER
valhǫll,LOC
grimníſ malum,WRK
hriſt,PER
miſt,PER
ſkeggiollꝺ,PER
ſkǫgul,PER
hillꝺꝛ,PER
þruðꝛ,PER
hlokk,PER
herꝼiǫtur,PER
Gꜹll,PER
geira hǫð,PER
ranngrið,PER
Raðgrið,PER
regínleíꝼ,PER
oðinn,PER
Guðꝛ,PER
rota,PER
ſkullꝺ,PER
ioꝛð,PER
þoꝛſ,PER
rinꝺꝛ,PER
vꜳla,PER
Gẏmer,PER
aurboða,PER
gerðꝛ,PER
ꝼræẏr,PER
hliðſkialꝼ,LOC
níoꝛðꝛ,PER
ſkirní,PER
ꝼræẏſ,PER
ꝼræẏſ,PER
ſkirner,PER
ꝼræẏſ,PER
ꝼræẏr,PER
ſkirner,PER
ꝼræẏr,PER
ꝼræẏr,PER
ſkirner,PER
baʀ æẏ,LOC
ꝼræẏ,PER
ſkirner,PER
ꝼræẏ,PER
ꝼræẏrr,PER
bela,PER
Gangleri,PER
ꝼræẏr,PER
beli,PER
har,PER
beli,PER
ꝼræẏr,PER
ꝼræẏ,PER
muſpellz,LOC
Gangleri,PER
oðinſ,PER
valhǫll,LOC
haar,PER
valhǫll,LOC
ſerimner,PER
Anꝺhrimner,PER
ellꝺhrímner,OTH
Anꝺhrimner,PER
ellꝺ hrimní,OTH
ſerimní,PER
Gangleri,PER
oðinn,PER
har,PER
geri,PER
ꝼrekí,PER
gera,PER
ꝼreka,PER
hæria ꝼǫðꝛ,PER
oðinn,PER
huginn,PER
munínn,PER
huginn,PER
muninn,PER
hugín,PER
munin,PER
Gangleri,PER
har,PER
alꝼoðꝛ,PER
valhallar,LOC
heiðꝛun,PER
valhǫll,LOC
leraðꝛ,OTH
Gangleri,PER
har,PER
æikþẏrní,PER
valhǫll,LOC
hvergelmí,LOC
Sið,LOC
við,LOC
ſekínækin,LOC
ſvǫl,LOC
gunnþro,LOC
ꝼioꝛin,LOC
ꝼimbul þul,LOC
gipul,LOC
gopul,LOC
g&ocurl;mul,LOC
geirrumul,LOC
þẏn,LOC
vín,LOC
þǫll,LOC
Holl,LOC
grað,LOC
gunnþoꝛín,LOC
nẏt,LOC
naut,LOC
nꜹnn,LOC
hronn,LOC
vína,LOC
veg,LOC
ſvínn,LOC
þioðnuma,LOC
Gangleri,PER
valholl,LOC
har,PER
grimníſ malum,WRK
valhǫll,LOC
Gangleri,PER
valhollu,LOC
oðinn,PER
har,PER
oðenſ,PER
oðinn,PER
ẏggꝺꝛaſilſ,OTH
ſkiðblaðner,OTH
oðinn,PER
ſleipner,PER
biꝼrǫſt,WRK
bꝛagi,PER
habrok,PER
garmr,PER
Gangleri,PER
ſleipní,PER
har,PER
ſleipní,PER
miðgarð,LOC
val holl,LOC
miðgarð,LOC
ꝼræẏíu,PER
ſvaðilꝼari,PER
loki,PER
þo&rscapdot;,PER
ꝼræẏíu,PER
iǫtun heima,LOC
lokí,PER
lauꝼæẏiar,PER
loka,PER
ſvaðilꝼara,PER
þoꝛ,PER
miǫllner,OTH
iotunheímum,LOC
niꝼlhel,LOC
loki,PER
ſvaðilꝼara,PER
vǫluſpa,WRK
oðſ,PER
þoꝛr,PER
Gangleri,PER
ſkiðblaðní,OTH
har,PER
Skiðblaðner,OTH
naglꝼar,OTH
ſkiðblaðní,OTH
ꝼræẏ,PER
Gangleri,PER
ſkiðblaðner,OTH
þoꝛr,PER
har,PER
þoꝛr,PER
þoꝛr,PER
Gangleri,PER
iaꝼn har,PER
Gangleri,PER
þriðí,PER
aku,PER
loki,PER
þoꝛr,PER
þoꝛr,PER
þoꝛr,PER
þialꝼí,PER
rǫſkva,PER
þoꝛr,PER
þialꝼi,PER
þoꝛr,PER
míǫllní,OTH
þoꝛr,PER
þoꝛr,PER
þialꝼa,PER
rǫſku,PER
iotun,LOC
lokí,PER
þialꝼi,PER
roſkva,PER
þialví,PER
þoꝛſ,PER
þoꝛr,PER
þoꝛr,PER
þoꝛr,PER
þoꝛr,PER
þoꝛr,PER
þoꝛ,PER
ſkrẏmer,PER
aſa,PER
þoꝛr,PER
ſkrẏmer,PER
þoꝛr,PER
þo&rscapdot;,PER
ſkrẏmer,PER
þo&rscapdot;,PER
ſkrẏmer,PER
þoꝛr,PER
ſkrẏmer,PER
ſkrẏmer,PER
ſkrẏmer,PER
þoꝛſ,PER
ſkrẏmer,PER
þoꝛr,PER
miǫllní,OTH
ſkrẏmer,PER
ſkrẏmer,PER
þoꝛr,PER
þoꝛr,PER
ſkrẏmer,PER
ſkrẏmer,PER
þoꝛr,PER
þoꝛr,PER
þoꝛr,PER
ſkrẏmer,PER
ſkrẏmer,PER
ſkrẏmer,PER
þoꝛr,PER
utgarðꝛ,LOC
utgarð,LOC
ut garða loka,PER
ſkrẏmer,PER
Þoꝛr,PER
Þoꝛr,PER
utgarða loka,PER
aku þoꝛr,PER
loki,PER
utgarða lokí,PER
logi,PER
loka,PER
loki,PER
logí,PER
loki,PER
logi,PER
loki,PER
utgarða lokí,PER
þialꝼí,PER
utgarða loki,PER
Utgarðaloki,PER
utgarðaloki,PER
hugí,PER
þialꝼa,PER
hugi,PER
Utgarðaloki,PER
þialꝼi,PER
hugi,PER
þialꝼa,PER
utgarðaloki,PER
þialfi,PER
hugi,PER
þialꝼi,PER
utgarðaloki,PER
þoꝛ,PER
þoꝛr,PER
Utgarðaloki,PER
þoꝛ,PER
utgarðaloki,PER
Þoꝛr,PER
utgarðaloki,PER
aſa,PER
þoꝛr,PER
Utgarðaloki,PER
þo&rscapdot;,PER
þo&rscapdot;,PER
Utgarðaloki,PER
þoꝛr,PER
utgarðaloki,PER
aſa,PER
þoꝛr,PER
þoꝛr,PER
þorr,PER
þoꝛr,PER
Utgarðaloki,PER
þoꝛr,PER
þoꝛr,PER
utgarðaloki,PER
ellí,PER
þoꝛr,PER
þoꝛr,PER
utgarðaloki,PER
aaſa,PER
þoꝛr,PER
þoꝛr,PER
þoꝛr,PER
utgarða lokí,PER
þoꝛr,PER
utgarðaloki,PER
utgarðaloki,PER
utgarðaloki,PER
utgarðaloki,PER
þoꝛſ,PER
þoꝛr,PER
utgarðaloki,PER
loki,PER
logi,PER
þialꝼi,PER
hugi,PER
þialva,PER
elli,PER
þoꝛr,PER
utgarða loka,PER
þꝛuðvanga,LOC
þoꝛſ,PER
Gangleri,PER
utgarðaloki,PER
þo&rscapdot;,PER
Haaʀ,PER
þo&rscapdot;,PER
ꜳſgarð,LOC
ẏmer,PER
þorr,PER
ẏmer,PER
þo&rscapdot;,PER
ẏmer,PER
ẏmer,PER
þoʀ,PER
þo&rscapdot;,PER
ẏmí,PER
ẏmer,PER
þoʀ,PER
ẏmer,PER
himin hriotr,PER
ẏmer,PER
þoꝛr,PER
ẏmi,PER
ẏmer,PER
ẏmer,PER
þorr,PER
ẏmer,PER
þorr,PER
ẏmer,PER
þo&rscapdot;,PER
þorr,PER
þorr,PER
utgarða lokí,PER
þoꝛ,PER
þoꝛſ,PER
þoʀ,PER
þorr,PER
ẏmer,PER
þo&rscapdot;,PER
þoꝛſ,PER
þorr,PER
þo&rscapdot;,PER
ẏmí,PER
þo&rscapdot;,PER
ɢangleri,PER
Þorr,PER
haar,PER
ballꝺꝛ,PER
ballꝺꝛí,PER
ꝼrigg,PER
ballꝺꝛí,PER
ballꝺꝛſ,PER
loki,PER
lauꝼæẏiar,PER
ꝼenſalar,LOC
ꝼriggiar,PER
ꝼrigg,PER
ballꝺrí,PER
ꝼrigg,PER
ballꝺꝛí,PER
ballꝺri,PER
ꝼrigg,PER
valhǫll,LOC
loki,PER
hǫðꝛ,PER
loki,PER
ballꝺrí,PER
ballꝺꝛ,PER
loki,PER
ballꝺri,PER
Hǫðꝛ,PER
ballꝺꝛí,PER
loka,PER
balldr,PER
ballꝺꝛ,PER
oðenn,PER
ballꝺꝛſ,PER
ꝼri&gscapdot;,PER
ballꝺꝛ,PER
heliu,PER
ballꝺꝛ,PER
aaſgarð,LOC
hermoðꝛ,PER
oðínſ,PER
ſleipner,PER
oðínſ,PER
hermoðꝛ,PER
ballꝺꝛſ,PER
hrínghoꝛni,OTH
ballꝺꝛſ,PER
ballꝺꝛſ,PER
iotun heíma,LOC
hẏrrokkín,PER
oðinn,PER
hẏrrokin,PER
þoꝛr,PER
ballꝺꝛſ,PER
nanna,PER
þo&rscapdot;,PER
miollní,OTH
litr,PER
þorr,PER
oðní,PER
ꝼri&gscapdot;,PER
ꝼræẏr,PER
gullinburſtí,PER
ſliðꝛugtanní,PER
heímꝺallr,PER
gulltoppr,PER
ꝼræẏia,PER
oðinn,PER
ꝺꝛaupner,OTH
ballꝺrſ,PER
hermoðí,PER
giallar,LOC
giallar bruna,LOC
moðguðꝛ,PER
heliar,PER
ballꝺꝛſ,PER
ballꝺꝛ,PER
ballꝺꝛ,PER
giallar bꝛu,LOC
ballꝺꝛ,PER
hermoðꝛ,PER
heliu,PER
ballꝺꝛ,PER
hel,PER
ballꝺꝛ,PER
helíu,PER
hermoðꝛ,PER
ballꝺꝛ,PER
ꝺꝛaupní,OTH
oðní,PER
nanna,PER
ꝼrigg,PER
ꝼullu,PER
hermoðꝛ,PER
aaſgarð,LOC
ballꝺꝛ,PER
þǫkk,PER
ballꝺꝛ,PER
þǫkk,PER
ballꝺꝛſ,PER
hel,PER
lokí,PER
lauꝼæẏíar,PER
Gangleri,PER
loki,PER
ballꝺꝛ,PER
hꜳr,PER
ꝼranangrſ ꝼoꝛſ,LOC
oðinn,PER
hliðſkialꝼinni,LOC
kuaser,PER
loki,PER
þoꝛr,PER
loki,PER
lokí,PER
þoꝛr,PER
loki,PER
þo&rscapdot;,PER
loki,PER
loka,PER
vali,PER
nari,PER
narꝼí,PER
vala,PER
narꝼa,PER
loka,PER
ſkaði,PER
ſigẏn,PER
har,PER
uǫlu ſpa,WRK
naglꝼar,OTH
naglꝼarſ,OTH
naglꝼar,OTH
hrẏmr,PER
naglꝼara,OTH
muſpellz,LOC
Surtr,PER
biꝼrǫſt,LOC
Muſpellz,LOC
vigriðꝛ,LOC
lok,PER
hrẏmr,PER
loka,PER
muſpellz,LOC
vigriðꝛ,LOC
heimꝺallr,PER
giallar hoꝛn,WRK
oðenn,PER
mimiſ,PER
mímí,PER
ẏggꝺꝛaſilſ,OTH
oðinn,PER
gungner,WRK
þo&rscapdot;,PER
Fræẏr,PER
ſurtí,PER
ꝼræẏr,PER
ſkírní,PER
garmr,PER
gnípa hellí,LOC
tẏ,PER
þo&rscapdot;,PER
oðin,PER
viða&rscapdot;,PER
loki,PER
heimꝺall,PER
ſurtr,PER
uǫlu ſpa,WRK
hæímꝺallr,PER
oðinn,PER
mímſ,PER
ẏggꝺꝛaſilſ,OTH
iǫtunheímr,LOC
Hrẏmr,PER
ioꝛmunganꝺꝛ,PER
naglꝼar,OTH
muſpellz,LOC
loki,PER
bẏleiſtz,PER
Surtr,PER
hlínar,PER
oðinn,PER
belia,PER
ſurtí,PER
ꝼriggíar,PER
oðinſ,PER
